KEY_DATA;DayNum
2020|12|23;2
2020|12|22;1
2020|12|21;0
2020|12|20;6
2020|12|19;5
2020|12|18;4
2020|12|17;3
2020|12|16;2
2020|12|15;1
2020|12|14;0
2020|12|13;6
2020|12|12;5
2020|12|11;4
2020|12|10;3
2020|12|09;2
2020|12|08;1
2020|12|07;0
2020|12|06;6
2020|12|05;5
2020|12|04;4
2020|12|03;3
2020|12|02;2
2020|12|01;1
2020|11|30;0
2020|11|29;6
2020|11|28;5
2020|11|27;4
2020|11|26;3
2020|11|25;2
2020|11|24;1
2020|11|23;0
2020|11|22;6
2020|11|21;5
2020|11|20;4
2020|11|19;3
2020|11|18;2
2020|11|17;1
2020|11|16;0
2020|11|15;6
2020|11|14;5
2020|11|13;4
2020|11|12;3
2020|11|11;2
2020|11|10;1
2020|11|09;0
2020|11|08;6
2020|11|07;5
2020|11|06;4
2020|11|05;3
2020|11|04;2
2020|11|03;1
2020|11|02;0
2020|11|01;6
2020|10|31;5
2020|10|30;4
2020|10|29;3
2020|10|28;2
2020|10|27;1
2020|10|26;0
2020|10|25;6
2020|10|24;5
2020|10|23;4
2020|10|22;3
2020|10|21;2
2020|10|20;1
2020|10|19;0
2020|10|18;6
2020|10|17;5
2020|10|16;4
2020|10|15;3
2020|10|14;2
2020|10|13;1
2020|10|12;0
2020|10|11;6
2020|10|10;5
2020|10|09;4
2020|10|08;3
2020|10|07;2
2020|10|06;1
2020|10|05;0
2020|10|04;6
2020|10|03;5
2020|10|02;4
2020|10|01;3
2020|09|30;2
2020|09|29;1
2020|09|28;0
2020|09|27;6
2020|09|26;5
2020|09|25;4
2020|09|24;3
2020|09|23;2
2020|09|22;1
2020|09|21;0
2020|09|20;6
2020|09|19;5
2020|09|18;4
2020|09|17;3
2020|09|16;2
2020|09|15;1
2020|09|14;0
2020|09|13;6
2020|09|12;5
2020|09|11;4
2020|09|10;3
2020|09|09;2
2020|09|08;1
2020|09|07;0
2020|09|06;6
2020|09|05;5
2020|09|04;4
2020|09|03;3
2020|09|02;2
2020|09|01;1
2020|08|31;0
2020|08|30;6
2020|08|29;5
2020|08|28;4
2020|08|27;3
2020|08|26;2
2020|08|25;1
2020|08|24;0
2020|08|23;6
2020|08|22;5
2020|08|21;4
2020|08|20;3
2020|08|19;2
2020|08|18;1
2020|08|17;0
2020|08|16;6
2020|08|15;5
2020|08|14;4
2020|08|13;3
2020|08|12;2
2020|08|11;1
2020|08|10;0
2020|08|09;6
2020|08|08;5
2020|08|07;4
2020|08|06;3
2020|08|05;2
2020|08|04;1
2020|08|03;0
2020|08|02;6
2020|08|01;5
2020|07|31;4
2020|07|30;3
2020|07|29;2
2020|07|28;1
2020|07|27;0
2020|07|26;6
2020|07|25;5
2020|07|24;4
2020|07|23;3
2020|07|22;2
2020|07|21;1
2020|07|20;0
2020|07|19;6
2020|07|18;5
2020|07|17;4
2020|07|16;3
2020|07|15;2
2020|07|14;1
2020|07|13;0
2020|07|12;6
2020|07|11;5
2020|07|10;4
2020|07|09;3
2020|07|08;2
2020|07|07;1
2020|07|06;0
2020|07|05;6
2020|07|04;5
2020|07|03;4
2020|07|02;3
2020|07|01;2
2020|06|30;1
2020|06|29;0
2020|06|28;6
2020|06|27;5
2020|06|26;4
2020|06|25;3
2020|06|24;2
2020|06|23;1
2020|06|22;0
2020|06|21;6
2020|06|20;5
2020|06|19;4
2020|06|18;3
2020|06|17;2
2020|06|16;1
2020|06|15;0
2020|06|14;6
2020|06|13;5
2020|06|12;4
2020|06|11;3
2020|06|10;2
2020|06|09;1
2020|06|08;0
2020|06|07;6
2020|06|06;5
2020|06|05;4
2020|06|04;3
2020|06|03;2
2020|06|02;1
2020|06|01;0
2020|05|31;6
2020|05|30;5
2020|05|29;4
2020|05|28;3
2020|05|27;2
2020|05|26;1
2020|05|25;0
2020|05|24;6
2020|05|23;5
2020|05|22;4
2020|05|21;3
2020|05|20;2
2020|05|19;1
2020|05|18;0
2020|05|17;6
2020|05|16;5
2020|05|15;4
2020|05|14;3
2020|05|13;2
2020|05|12;1
2020|05|11;0
2020|05|10;6
2020|05|09;5
2020|05|08;4
2020|05|07;3
2020|05|06;2
2020|05|05;1
2020|05|04;0
2020|05|03;6
2020|05|02;5
2020|05|01;4
2020|04|30;3
2020|04|29;2
2020|04|28;1
2020|04|27;0
2020|04|26;6
2020|04|25;5
2020|04|24;4
2020|04|23;3
2020|04|22;2
2020|04|21;1
2020|04|20;0
2020|04|19;6
2020|04|18;5
2020|04|17;4
2020|04|16;3
2020|04|15;2
2020|04|14;1
2020|04|13;0
2020|04|12;6
2020|04|11;5
2020|04|10;4
2020|04|09;3
2020|04|08;2
2020|04|07;1
2020|04|06;0
2020|04|05;6
2020|04|04;5
2020|04|03;4
2020|04|02;3
2020|04|01;2
2020|03|31;1
2020|03|30;0
2020|03|29;6
2020|03|28;5
2020|03|27;4
2020|03|26;3
2020|03|25;2
2020|03|24;1
2020|03|23;0
2020|03|22;6
2020|03|21;5
2020|03|20;4
2020|03|19;3
2020|03|18;2
2020|03|17;1
2020|03|16;0
2020|03|15;6
2020|03|14;5
2020|03|13;4
2020|03|12;3
2020|03|11;2
2020|03|10;1
2020|03|09;0
2020|03|08;6
2020|03|07;5
2020|03|06;4
2020|03|05;3
2020|03|04;2
2020|03|03;1
2020|03|02;0
2020|03|01;6
2020|02|29;5
2020|02|28;4
2020|02|27;3
2020|02|26;2
2020|02|25;1
2020|02|24;0
2020|02|23;6
2020|02|22;5
2020|02|21;4
2020|02|20;3
2020|02|19;2
2020|02|18;1
2020|02|17;0
2020|02|16;6
2020|02|15;5
2020|02|14;4
2020|02|13;3
2020|02|12;2
2020|02|11;1
2020|02|10;0
2020|02|09;6
2020|02|08;5
2020|02|07;4
2020|02|06;3
2020|02|05;2
2020|02|04;1
2020|02|03;0
2020|02|02;6
2020|02|01;5
2020|01|31;4
2020|01|30;3
2020|01|29;2
2020|01|28;1
2020|01|27;0
2020|01|26;6
2020|01|25;5
2020|01|24;4
2020|01|23;3
2020|01|22;2
2020|01|21;1
2020|01|20;0
2020|01|19;6
2020|01|18;5
2020|01|17;4
2020|01|16;3
2020|01|15;2
2020|01|14;1
2020|01|13;0
2020|01|12;6
2020|01|11;5
2020|01|10;4
2020|01|09;3
2020|01|08;2
2020|01|07;1
2020|01|06;0
2020|01|05;6
2020|01|04;5
2020|01|03;4
2020|01|02;3
2020|01|01;2
2019|12|31;1
2019|12|30;0
2019|12|29;6
2019|12|28;5
2019|12|27;4
2019|12|26;3
2019|12|24;1
2019|12|23;0
2019|12|22;6
2019|12|21;5
2019|12|20;4
2019|12|19;3
2019|12|18;2
2019|12|17;1
2019|12|16;0
2019|12|15;6
2019|12|14;5
2019|12|13;4
2019|12|12;3
2019|12|11;2
2019|12|10;1
2019|12|09;0
2019|12|08;6
2019|12|07;5
2019|12|06;4
2019|12|05;3
2019|12|04;2
2019|12|03;1
2019|12|02;0
2019|12|01;6
2019|11|30;5
2019|11|29;4
2019|11|28;3
2019|11|27;2
2019|11|26;1
2019|11|25;0
2019|11|24;6
2019|11|23;5
2019|11|22;4
2019|11|21;3
2019|11|20;2
2019|11|19;1
2019|11|18;0
2019|11|17;6
2019|11|16;5
2019|11|15;4
2019|11|14;3
2019|11|13;2
2019|11|12;1
2019|11|11;0
2019|11|10;6
2019|11|09;5
2019|11|08;4
2019|11|07;3
2019|11|06;2
2019|11|05;1
2019|11|04;0
2019|11|03;6
2019|11|02;5
2019|11|01;4
2019|10|31;3
2019|10|30;2
2019|10|29;1
2019|10|28;0
2019|10|27;6
2019|10|26;5
2019|10|25;4
2019|10|24;3
2019|10|23;2
2019|10|22;1
2019|10|21;0
2019|10|20;6
2019|10|19;5
2019|10|18;4
2019|10|17;3
2019|10|16;2
2019|10|15;1
2019|10|14;0
2019|10|13;6
2019|10|12;5
2019|10|11;4
2019|10|10;3
2019|10|09;2
2019|10|08;1
2019|10|07;0
2019|10|06;6
2019|10|05;5
2019|10|04;4
2019|10|03;3
2019|10|02;2
2019|10|01;1
2019|09|30;0
2019|09|29;6
2019|09|28;5
